source,run_id,task_id,pass_hat_k
browsecomp,e0b-b1-browsecomp-p1,bc-en-1062,1
browsecomp,e0b-b1-browsecomp-p1,bc-en-1084,1
browsecomp,e0b-b1-browsecomp-p1,bc-en-380,1
browsecomp,e0b-b1-browsecomp-p1,bc-en-557,0
browsecomp,e0b-b1-browsecomp-p1,bc-en-70,0
browsecomp,e0b-b1-browsecomp-p1,bc-en-749,0
browsecomp,e0b-b1-browsecomp-p1,bc-en-772,1
browsecomp,e0b-b1-browsecomp-p1,bc-en-795,1
browsecomp,e0b-b1-browsecomp-p1,bc-en-908,1
browsecomp,e0b-b1-browsecomp-p1,bc-en-952,1
browsecomp,e0b-b1-browsecomp-p2,bc-en-1062,1
browsecomp,e0b-b1-browsecomp-p2,bc-en-1084,0
browsecomp,e0b-b1-browsecomp-p2,bc-en-380,1
browsecomp,e0b-b1-browsecomp-p2,bc-en-557,0
browsecomp,e0b-b1-browsecomp-p2,bc-en-70,1
browsecomp,e0b-b1-browsecomp-p2,bc-en-749,0
browsecomp,e0b-b1-browsecomp-p2,bc-en-772,0
browsecomp,e0b-b1-browsecomp-p2,bc-en-795,1
browsecomp,e0b-b1-browsecomp-p2,bc-en-908,1
browsecomp,e0b-b1-browsecomp-p2,bc-en-952,1
hle,e0b-b1-hle-p1,hle-66eaa5ddc7a3252f0f3fe53f,1
hle,e0b-b1-hle-p1,hle-66f03563a291f119cd841967,1
hle,e0b-b1-hle-p1,hle-66f2cda3b508188b6e7328a8,1
hle,e0b-b1-hle-p1,hle-66f44382e369fb72959c8e86,1
hle,e0b-b1-hle-p1,hle-66f5ac3d909b45b3b472d01f,1
hle,e0b-b1-hle-p1,hle-66fc5b54ffa390c4af01820f,0
hle,e0b-b1-hle-p1,hle-66feaaa369901fcf62a010dc,0
hle,e0b-b1-hle-p1,hle-66fecbff69d5712b5401553e,0
hle,e0b-b1-hle-p1,hle-67015a7f6a2b21f149f3aaba,1
hle,e0b-b1-hle-p1,hle-6702bc770065c2f50235a34e,0
hle,e0b-b1-hle-p1,hle-670980821053a19619c30869,0
hle,e0b-b1-hle-p1,hle-670b307567eb710437409184,1
hle,e0b-b1-hle-p1,hle-67162aae22b39b92ec5d1eaf,1
hle,e0b-b1-hle-p1,hle-67192d7e0fa7bca6462f63a9,1
hle,e0b-b1-hle-p1,hle-671bf02518de98fe736cc1b5,1
hle,e0b-b1-hle-p1,hle-671e8c73745919354c759204,1
hle,e0b-b1-hle-p1,hle-6723f1d6e01c4b28f6115ce0,1
hle,e0b-b1-hle-p1,hle-67240e5586f4c71a70e0b498,0
hle,e0b-b1-hle-p1,hle-67241607454d2eee0ceef762,0
hle,e0b-b1-hle-p1,hle-67253e40cff9fdccf85f3f08,0
hle,e0b-b1-hle-p1,hle-67253f2c13c1aec29d1f1849,0
hle,e0b-b1-hle-p1,hle-67256e36e5e6cc87293fc3f0,0
hle,e0b-b1-hle-p1,hle-6732761c77e9a02e661946ac,0
hle,e0b-b1-hle-p1,hle-673623f4975e3df10169bceb,1
hle,e0b-b1-hle-p1,hle-67363709b1a97400f39cdc71,0
hle,e0b-b1-hle-p1,hle-6736ab1af0b1f35585e14f7d,0
hle,e0b-b1-hle-p1,hle-67372e09a90747ed09962582,0
hle,e0b-b1-hle-p1,hle-67373446bb9a786bfe928d2c,1
hle,e0b-b1-hle-p1,hle-6738e0e90afc5078575438a9,1
hle,e0b-b1-hle-p1,hle-673dda11d3981c54a42874ef,1
hle,e0b-b1-hle-p1,hle-67631f198b502023c4567380,0
hle,e0b-b1-hle-p1,hle-677c9bc140c35493a85c3c33,1
hle,e0b-b1-hle-p2,hle-66eaa5ddc7a3252f0f3fe53f,1
hle,e0b-b1-hle-p2,hle-66f03563a291f119cd841967,1
hle,e0b-b1-hle-p2,hle-66f2cda3b508188b6e7328a8,0
hle,e0b-b1-hle-p2,hle-66f44382e369fb72959c8e86,1
hle,e0b-b1-hle-p2,hle-66f5ac3d909b45b3b472d01f,0
hle,e0b-b1-hle-p2,hle-66fc5b54ffa390c4af01820f,1
hle,e0b-b1-hle-p2,hle-66feaaa369901fcf62a010dc,0
hle,e0b-b1-hle-p2,hle-66fecbff69d5712b5401553e,0
hle,e0b-b1-hle-p2,hle-67015a7f6a2b21f149f3aaba,1
hle,e0b-b1-hle-p2,hle-6702bc770065c2f50235a34e,0
hle,e0b-b1-hle-p2,hle-670980821053a19619c30869,1
