source,cluster_id,cause_label,component,members,component_unique,max_candidate_set,llm_chosen_members
gdpval,c4eb201a7,error_recovery,error_handling,1,0,3,1
gdpval,c2ee8e414,over_exploration,planner,1,0,4,1
gdpval,c411077d9,premature_termination,completion_policy,2,0,3,2
claw_eval,c2bb01bdd,argument_error,tool_router,3,0,3,5
claw_eval,cbafea507,instruction_misread,system_prompt,2,0,3,4
claw_eval,c9e506aa7,instruction_misread,task_prompt,1,0,3,2
claw_eval,c683227e7,insufficient_evidence,completion_policy,1,0,3,1
claw_eval,c487c05a7,insufficient_evidence,planner,1,0,3,2
claw_eval,cf64847a8,insufficient_evidence,system_prompt,1,0,2,1
claw_eval,c6de9b037,insufficient_evidence,tool_router,5,0,4,8
claw_eval,c55de9dc2,over_exploration,observation_shaping,1,1,1,0
claw_eval,c734034d9,over_exploration,planner,3,0,4,3
claw_eval,c56d1d05e,over_exploration,system_prompt,3,0,4,3
claw_eval,c995dcc1b,over_exploration,tool_router,1,0,3,2
claw_eval,cedff9e5f,premature_termination,completion_policy,1,0,2,1
claw_eval,cf73dd5b4,premature_termination,system_prompt,1,0,4,1
claw_eval,c8ce3b49b,wrong_target,planner,1,0,4,2
claw_eval,cfdefe596,wrong_target,tool_router,4,0,3,7
