source,run_id,rollouts,policy_usd_per_rollout,judge_usd_per_rollout,replay_usd,diagnosis_usd,search_usd,total_usd
browsecomp,e0b-b1-browsecomp-p1,10,0.1943,0.0003,0.0000,0.0000,0.0000,1.9454
browsecomp,e0b-b1-browsecomp-p2,10,0.1881,0.0002,0.0000,0.0000,0.0000,1.8830
hle,e0b-b1-hle-p1,32,0.0530,0.0006,0.0000,0.0000,0.0000,1.7127
hle,e0b-b1-hle-p2,32,0.0535,0.0005,0.0000,0.0000,0.0080,1.7354
gdpval,e0b-b1-gdpval-p1,56,0.1045,0.0319,18.2919,0.1253,0.0090,26.0617
gdpval,e0b-b1-gdpval-p2,56,0.0777,0.0160,8.7813,0.0421,0.0030,14.0707
gdpval,e0b-b1-gdpval-p1-ref,25,0.2096,0.0064,0.0000,0.0381,0.0000,5.4377
gdpval,e0b-b1-gdpval-p2-ref,18,0.1558,0.0071,0.0000,0.0353,0.0000,2.9658
gdpval,e0b-b2-gdpval-p1,30,0.0779,0.0135,0.0000,0.0000,0.0000,2.7410
gdpval,e0b-b2-gdpval-p2,30,0.0710,0.0136,0.0000,0.0000,0.0000,2.5374
gdpval,e0b-b2-gdpval-p3,30,0.0669,0.0122,0.0000,0.0000,0.0000,2.3726
gdpval,e0b-b2-gdpval-p4,30,0.0679,0.0124,0.0000,0.0000,0.0000,2.4087
gdpval,e0b-b2-gdpval-p5,30,0.0639,0.0122,0.0000,0.0000,0.0000,2.2827
claw_eval,e0b-b1-claw_eval-p1,168,0.0151,0.0077,6.4213,0.2547,0.0000,10.5011
claw_eval,e0b-b1-claw_eval-p2,168,0.0138,0.0076,9.8456,0.2119,0.0000,13.6557
claw_eval,e0b-b1-claw_eval-p1-ref,32,0.0218,0.0024,0.0000,0.0294,0.0000,0.8020
claw_eval,e0b-b1-claw_eval-p2-ref,30,0.0521,0.0045,0.0000,0.0428,0.0000,1.7431
claw_eval,e0b-b2-claw_eval-p1,90,0.0201,0.0024,0.0000,0.0000,0.0000,2.0184
claw_eval,e0b-b2-claw_eval-p2,90,0.0201,0.0021,0.0000,0.0000,0.0000,2.0037
claw_eval,e0b-b2-claw_eval-p3,90,0.0195,0.0021,0.0000,0.0000,0.0000,1.9461
claw_eval,e0b-b2-claw_eval-p4,90,0.0198,0.0025,0.0000,0.0000,0.0000,2.0083
claw_eval,e0b-b2-claw_eval-p5,90,0.0199,0.0022,0.0000,0.0000,0.0000,1.9906
claw_eval,e0b-b2-claw_eval-p6,90,0.0172,0.0020,0.0000,0.0000,0.0000,1.7283
claw_eval,e0b-b2-claw_eval-p7,90,0.0199,0.0022,0.0000,0.0000,0.0000,1.9906
claw_eval,e0b-b2-claw_eval-p8,90,0.0189,0.0021,0.0000,0.0000,0.0000,1.8944
