run_id,task_id,replicate,text_passed,text_value,vision_model,vision_passed,vision_value,vision_used_images,agree,vision_error
e0b-b1-gdpval-p1,gdpval-0112fc9b-c3b2-4084-8993-5a4abb1f54f1,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-02aa1805-c658-4069-8a6a-02dec146063a,r1,1,0.7209,deepseek-v4-flash-vision-exp,1,0.7093,1,1,
e0b-b1-gdpval-p1,gdpval-0419f1c3-d669-45d0-81cd-f4d5923b06a5,r1,1,0.9647,deepseek-v4-flash-vision-exp,1,0.9647,1,1,
e0b-b1-gdpval-p1,gdpval-0e386e32-df20-4d1f-b536-7159bc409ad5,r1,0,0.1282,deepseek-v4-flash-vision-exp,1,0.9231,0,0,
e0b-b1-gdpval-p1,gdpval-0ec25916-1b5c-4bfe-93d3-4e103d860f3a,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-0fad6023-767b-42c1-a1b3-027cd4f583cb,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,0.9470,1,1,
e0b-b1-gdpval-p1,gdpval-1137e2bb-bdf9-4876-b572-f29b7de5e595,r1,1,0.9875,deepseek-v4-flash-vision-exp,1,0.9875,1,1,
e0b-b1-gdpval-p1,gdpval-15d37511-75c5-4c7f-81f1-16e00c0d95f3,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-1752cb53-5983-46b6-92ee-58ac85a11283,r1,0,0.2958,deepseek-v4-flash-vision-exp,1,0.9437,1,0,
e0b-b1-gdpval-p1,gdpval-1e5a1d7f-12c1-48c6-afd9-82257b3f2409,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-211d0093-2c64-4bd0-828c-0201f18924e7,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-2696757c-1f8a-4959-8f0d-f5597b9e70fc,r1,0,0.5122,deepseek-v4-flash-vision-exp,0,0.5366,1,1,
e0b-b1-gdpval-p1,gdpval-3c19c6d1-672c-467a-8437-6fe21afb8eae,r1,1,0.9873,deepseek-v4-flash-vision-exp,1,0.9873,1,1,
e0b-b1-gdpval-p1,gdpval-3f625cb2-f40e-4ead-8a97-6924356d5989,r1,1,0.9474,deepseek-v4-flash-vision-exp,1,0.8618,1,1,
e0b-b1-gdpval-p1,gdpval-3f821c2d-ab97-46ec-a0fb-b8f73c2682bc,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,0.9938,1,1,
e0b-b1-gdpval-p1,gdpval-476db143-163a-4537-9e21-fe46adad703b,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,0.8438,1,1,
e0b-b1-gdpval-p1,gdpval-4b894ae3-1f23-4560-b13d-07ed1132074e,r1,0,0.0000,deepseek-v4-flash-vision-exp,0,0.0000,0,1,
e0b-b1-gdpval-p1,gdpval-5349dd7b-bf0a-4544-9a17-75b7013767e6,r1,0,0.4698,deepseek-v4-flash-vision-exp,0,0.5034,1,1,
e0b-b1-gdpval-p1,gdpval-552b7dd0-96f4-437c-a749-0691e0e4b381,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-57b2cdf2-ad62-4591-aa91-aad489740320,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-58ac1cc5-5754-4580-8c9c-8c67e1a9d619,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,0.9868,1,1,
e0b-b1-gdpval-p1,gdpval-5a2d70da-0a42-4a6b-a3ca-763e03f070a5,r1,1,0.9778,deepseek-v4-flash-vision-exp,1,0.9556,1,1,
e0b-b1-gdpval-p1,gdpval-5d0feb24-e8b6-4ace-b64f-d5cd1a8b563d,r1,1,0.9844,deepseek-v4-flash-vision-exp,1,0.9688,0,1,
e0b-b1-gdpval-p1,gdpval-6074bba3-7e3a-4b1c-b8c6-a15bb6695c3b,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-61e7b9c6-0051-429f-a341-fda9b6578a84,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-6436ff9e-c5f2-47ba-9aaa-49d89b0594ab,r1,1,0.9683,deepseek-v4-flash-vision-exp,1,0.9841,1,1,
e0b-b1-gdpval-p1,gdpval-68d8d901-dd0b-4a7e-bf9a-1074fddf1a96,r1,1,0.9651,deepseek-v4-flash-vision-exp,1,0.9767,1,1,
e0b-b1-gdpval-p1,gdpval-7151c60a-d4cb-4fc4-8169-3d4cb446e6b9,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-788d2bc6-82df-4dc7-8467-a0f31405dc14,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-7de33b48-5163-4f50-b5f3-8deea8185e57,r1,0,0.0000,deepseek-v4-flash-vision-exp,0,0.0000,0,1,
e0b-b1-gdpval-p1,gdpval-8079e27d-b6f3-4f75-a9b5-db27903c798d,r1,0,0.4636,deepseek-v4-flash-vision-exp,1,1.0000,1,0,
e0b-b1-gdpval-p1,gdpval-8a7b6fca-60cc-4ae3-b649-971753cbf8b9,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-90edba97-74f0-425a-8ff6-8b93182eb7cb,r1,1,0.8971,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-93b336f3-61f3-4287-86d2-87445e1e0f90,r1,1,0.8684,deepseek-v4-flash-vision-exp,1,0.8684,1,1,
e0b-b1-gdpval-p1,gdpval-94925f49-36bc-42da-b45b-61078d329300,r1,0,0.3537,deepseek-v4-flash-vision-exp,0,0.3659,1,1,
e0b-b1-gdpval-p1,gdpval-9efbcd35-186d-49b6-ac24-28ee2bc9a263,r1,1,0.8289,deepseek-v4-flash-vision-exp,1,0.8947,1,1,
e0b-b1-gdpval-p1,gdpval-a10ec48c-168e-476c-8fe3-23b2a5f616ac,r1,1,0.8000,deepseek-v4-flash-vision-exp,1,0.7714,1,1,
e0b-b1-gdpval-p1,gdpval-a1963a68-1bea-4bb1-b7e0-145c92a57449,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-a73fbc98-90d4-4134-a54f-2b1d0c838791,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,0.9655,1,1,
e0b-b1-gdpval-p1,gdpval-a99d85fc-eff8-48d2-a7d4-42a75d62f18d,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-b39a5aa7-cd1b-47ad-b249-90afd22f8f21,r1,1,1.0000,deepseek-v4-flash-vision-exp,1,1.0000,1,1,
e0b-b1-gdpval-p1,gdpval-b57efde3-26d6-4742-bbff-2b63c43b4baa,r1,1,0.8933,deepseek-v4-flash-vision-exp,1,0.8400,1,1,
