source,N,k,heldout_passes,sigma_seed,spread,mde_points,cost_usd,meets_d8
claw_eval,7,3,1,3.75,5.00,7.50,451.05,0
claw_eval,7,3,2,3.75,5.00,7.00,900.93,0
claw_eval,7,5,1,3.75,5.00,7.00,751.74,0
claw_eval,7,5,2,3.75,5.00,7.25,1501.56,0
claw_eval,8,3,1,3.75,5.00,6.75,515.48,0
claw_eval,8,3,2,3.75,5.00,6.50,1029.64,0
claw_eval,8,5,1,3.75,5.00,6.50,859.14,0
claw_eval,8,5,2,3.75,5.00,6.25,1716.06,0
claw_eval,10,3,1,3.75,5.00,5.75,644.35,0
claw_eval,10,3,2,3.75,5.00,5.50,1287.05,0
claw_eval,10,5,1,3.75,5.00,5.50,1073.92,0
claw_eval,10,5,2,3.75,5.00,5.25,2145.08,0
claw_eval,14,3,1,3.75,5.00,4.75,902.09,0
claw_eval,14,3,2,3.75,5.00,4.25,1801.87,0
claw_eval,14,5,1,3.75,5.00,4.75,1503.49,0
claw_eval,14,5,2,3.75,5.00,4.25,3003.11,0
gdpval,7,3,1,4.35,5.00,7.50,597.70,0
gdpval,7,3,2,4.35,5.00,7.25,1193.56,0
gdpval,7,5,1,4.35,5.00,7.25,996.17,0
gdpval,7,5,2,4.35,5.00,7.25,1989.27,0
gdpval,8,3,1,4.35,5.00,7.00,683.09,0
gdpval,8,3,2,4.35,5.00,6.50,1364.07,0
gdpval,8,5,1,4.35,5.00,6.50,1138.48,0
gdpval,8,5,2,4.35,5.00,6.25,2273.45,0
gdpval,10,3,1,4.35,5.00,6.00,853.86,0
gdpval,10,3,2,4.35,5.00,5.50,1705.09,0
gdpval,10,5,1,4.35,5.00,5.50,1423.10,0
gdpval,10,5,2,4.35,5.00,5.25,2841.81,0
gdpval,14,3,1,4.35,5.00,4.75,1195.40,0
gdpval,14,3,2,4.35,5.00,4.50,2387.12,0
gdpval,14,5,1,4.35,5.00,4.75,1992.34,0
gdpval,14,5,2,4.35,5.00,4.25,3978.54,0
