source,run_id,cluster_id,ref_top1,self_top1,gap_top1,ref_top3,self_top3,gap_top3
gdpval,e0b-b1-gdpval-p1,c411077d9,0,1,-1,0,1,-1
gdpval,e0b-b1-gdpval-p1,c4eb201a7,0,0,0,1,0,1
gdpval,e0b-b1-gdpval-p2,c2ee8e414,0,0,0,0,0,0
claw_eval,e0b-b1-claw_eval-p1,c27348614,1,1,0,1,1,0
claw_eval,e0b-b1-claw_eval-p1,c55de9dc2,1,1,0,1,1,0
claw_eval,e0b-b1-claw_eval-p1,c734034d9,0,1,-1,0,1,-1
claw_eval,e0b-b1-claw_eval-p1,c8ce3b49b,1,1,0,1,1,0
claw_eval,e0b-b1-claw_eval-p1,c995dcc1b,1,0,1,1,1,0
claw_eval,e0b-b1-claw_eval-p1,c9e506aa7,1,0,1,1,1,0
claw_eval,e0b-b1-claw_eval-p1,cbaae181b,1,1,0,1,1,0
claw_eval,e0b-b1-claw_eval-p1,cc4127fa6,0,1,-1,1,1,0
claw_eval,e0b-b1-claw_eval-p1,cd68528c8,1,0,1,1,1,0
claw_eval,e0b-b1-claw_eval-p1,cedff9e5f,0,0,0,0,0,0
claw_eval,e0b-b1-claw_eval-p1,cf64847a8,0,0,0,1,0,1
claw_eval,e0b-b1-claw_eval-p2,c16ae51b7,1,1,0,1,1,0
claw_eval,e0b-b1-claw_eval-p2,c34bd8091,0,0,0,1,0,1
claw_eval,e0b-b1-claw_eval-p2,c487c05a7,0,0,0,1,1,0
claw_eval,e0b-b1-claw_eval-p2,c683227e7,0,1,-1,1,1,0
claw_eval,e0b-b1-claw_eval-p2,cbafea507,0,0,0,1,1,0
claw_eval,e0b-b1-claw_eval-p2,cdbc503bb,1,1,0,1,1,0
claw_eval,e0b-b1-claw_eval-p2,ce078740c,1,1,0,1,1,0
claw_eval,e0b-b1-claw_eval-p2,cf73dd5b4,0,0,0,0,1,-1
