source,task_id
browsecomp,bc-en-1062
browsecomp,bc-en-1084
browsecomp,bc-en-70
browsecomp,bc-en-772
browsecomp,bc-en-952
claw_eval,claw-T012_expense_report
claw_eval,claw-T041zh_scheduled_task_management
claw_eval,claw-T065_finance_x_inv_turnover
claw_eval,claw-T131zh_order_profit_analysis
claw_eval,claw-T163zh_quarterly_customer_review
gdpval,gdpval-15d37511-75c5-4c7f-81f1-16e00c0d95f3
gdpval,gdpval-2696757c-1f8a-4959-8f0d-f5597b9e70fc
gdpval,gdpval-90edba97-74f0-425a-8ff6-8b93182eb7cb
gdpval,gdpval-bb863dd9-31c2-4f64-911a-ce11f457143b
gdpval,gdpval-ed2bc14c-99ac-4a2a-8467-482a1a5d67f3
hle,hle-66f2cda3b508188b6e7328a8
hle,hle-6702bc770065c2f50235a34e
hle,hle-6723f1d6e01c4b28f6115ce0
hle,hle-67372e09a90747ed09962582
hle,hle-677c9bc140c35493a85c3c33
