source,host,curl_commands
browsecomp,en.wikipedia.org,82
browsecomp,www.bing.com,32
browsecomp,api.gdeltproject.org,28
browsecomp,search.brave.com,26
browsecomp,web.archive.org,20
browsecomp,www.georgewpeck.com,17
browsecomp,news.google.com,13
browsecomp,translate.google.com,12
hle,www.bing.com,17
hle,www.google.com,10
hle,chessfox.com,6
hle,r.jina.ai,6
hle,subdl.com,5
hle,search.brave.com,4
hle,grep.app,3
hle,html.duckduckgo.com,3
gdpval,benefits.va.gov,18
gdpval,web.archive.org,10
gdpval,www.benefits.va.gov,5
gdpval,www.bing.com,5
gdpval,iris.who.int,2
gdpval,www.mojeek.com,2
gdpval,www.va.gov,2
gdpval,api.allorigins.win,1
claw_eval,www.sec.gov,9
claw_eval,data.sec.gov,5
claw_eval,127.0.0.1,2
claw_eval,stockanalysis.com,1
