source,cluster_id,cause_label,component,members,component_unique,max_candidate_set,llm_chosen_members
claw_eval,cdfa0a366,argument_error,tool_router,1,0,3,2
claw_eval,c65e8e567,instruction_misread,task_prompt,3,0,3,4
claw_eval,c7b2d1719,insufficient_evidence,completion_policy,1,0,3,2
claw_eval,c66281233,insufficient_evidence,planner,2,0,4,4
claw_eval,c6b61c46d,insufficient_evidence,system_prompt,1,0,2,2
claw_eval,c695f431f,insufficient_evidence,tool_registry,2,0,4,4
claw_eval,c1438b15b,insufficient_evidence,tool_router,6,0,3,6
claw_eval,ce3d907d8,over_exploration,context_window,1,0,3,1
claw_eval,c8f8133be,over_exploration,planner,5,0,4,8
claw_eval,c4662df54,over_exploration,system_prompt,1,0,4,2
claw_eval,c5cf0fbc8,over_exploration,tool_router,5,0,3,7
claw_eval,c88854b13,over_exploration,tool_shell,1,0,4,2
claw_eval,c317fef3b,premature_termination,completion_policy,5,0,4,6
claw_eval,c62e8d42f,wrong_target,system_prompt,1,0,3,3
claw_eval,cf360331c,wrong_target,tool_router,3,0,4,7
