source,run_id,cause_label,component,near,far,why,how,all,coherent
claw_eval,e0c-b1-claw_eval-p2,argument_error,tool_router,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,instruction_misread,task_prompt,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p3,instruction_misread,task_prompt,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p3,insufficient_evidence,completion_policy,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,insufficient_evidence,planner,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p3,insufficient_evidence,planner,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p3,insufficient_evidence,system_prompt,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p3,insufficient_evidence,tool_registry,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p1,insufficient_evidence,tool_router,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,insufficient_evidence,tool_router,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p3,insufficient_evidence,tool_router,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p1,over_exploration,context_window,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p1,over_exploration,planner,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,over_exploration,planner,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p3,over_exploration,planner,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p1,over_exploration,system_prompt,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p1,over_exploration,tool_router,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,over_exploration,tool_router,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,over_exploration,tool_shell,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,premature_termination,completion_policy,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p3,premature_termination,completion_policy,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,wrong_target,system_prompt,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p1,wrong_target,tool_router,feasible,feasible,feasible,feasible,feasible,feasible
claw_eval,e0c-b1-claw_eval-p2,wrong_target,tool_router,feasible,feasible,feasible,feasible,feasible,feasible
