source,run_id,rollouts,policy_usd_per_rollout,judge_usd_per_rollout,replay_usd,diagnosis_usd,search_usd,total_usd
claw_eval,e0c-b1-claw_eval-p1,198,0.0122,0.0047,1.5478,0.0779,0.0000,4.9666
claw_eval,e0c-b1-claw_eval-p2,198,0.0099,0.0045,1.1302,0.1049,0.0000,4.0797
claw_eval,e0c-b1-claw_eval-p3,198,0.0106,0.0056,2.2718,0.0962,0.0000,5.5839
claw_eval,e0c-b1-claw_eval-p1-ref,30,0.0204,0.0039,0.0000,0.0348,0.0000,0.7637
claw_eval,e0c-b1-claw_eval-p2-ref,33,0.0107,0.0021,0.0000,0.0262,0.0000,0.4463
claw_eval,e0c-b1-claw_eval-p3-ref,39,0.0122,0.0021,0.0000,0.0355,0.0000,0.5926
claw_eval,e0c-b2-claw_eval-p1,90,0.0181,0.0043,0.0000,0.0000,0.0000,2.0180
claw_eval,e0c-b2-claw_eval-p2,90,0.0224,0.0038,0.0000,0.0000,0.0000,2.3643
claw_eval,e0c-b2-claw_eval-p3,90,0.0239,0.0041,0.0000,0.0000,0.0000,2.5235
claw_eval,e0c-b2-claw_eval-p4,90,0.0242,0.0044,0.0000,0.0000,0.0000,2.5703
