source,run_id,cluster_id,tier,candidate_set_size,old_decoy,old_decoy_in_candidate_set,new_decoy,new_feasibility,lost
claw_eval,e0c-b1-claw_eval-p1,c63b3e797,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p1,ce3d907d8,near,3,system_prompt,0,system_prompt,feasible,0
claw_eval,e0c-b1-claw_eval-p1,cd43b738f,near,4,entry,0,entry,feasible,0
claw_eval,e0c-b1-claw_eval-p1,c4662df54,near,4,task_prompt,1,observation_shaping,feasible,0
claw_eval,e0c-b1-claw_eval-p1,c95548d17,near,3,tool_registry,0,tool_registry,feasible,0
claw_eval,e0c-b1-claw_eval-p1,c615d4b9d,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p1,c63b3e797,far,3,error_handling,0,loop,feasible,0
claw_eval,e0c-b1-claw_eval-p1,ce3d907d8,far,3,wiring,0,budget,feasible,0
claw_eval,e0c-b1-claw_eval-p1,cd43b738f,far,4,tool_shell,0,tool_shell,feasible,0
claw_eval,e0c-b1-claw_eval-p1,c4662df54,far,4,loop,0,loop,feasible,0
claw_eval,e0c-b1-claw_eval-p1,c95548d17,far,3,loop,0,middleware,feasible,0
claw_eval,e0c-b1-claw_eval-p1,c615d4b9d,far,3,context_window,1,entry,feasible,0
claw_eval,e0c-b1-claw_eval-p2,cdfa0a366,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c61133d38,near,2,context_window,0,context_window,feasible,0
claw_eval,e0c-b1-claw_eval-p2,caadc1d23,near,4,entry,0,entry,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c73b1dcf9,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c1605dd26,near,3,loop,0,loop,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c33ef13ee,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c88854b13,near,3,model_client,0,model_client,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c4b6ab060,near,2,planner,0,planner,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c62e8d42f,near,2,context_window,0,context_window,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c3622ecfc,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p2,cdfa0a366,far,3,verifier,0,observation_shaping,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c61133d38,far,2,tool_registry,0,tool_registry,feasible,0
claw_eval,e0c-b1-claw_eval-p2,caadc1d23,far,4,tool_registry,0,middleware,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c73b1dcf9,far,3,verifier,0,wiring,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c1605dd26,far,3,task_prompt,0,tool_registry,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c33ef13ee,far,3,system_prompt,0,tool_shell,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c88854b13,far,3,completion_policy,0,context_window,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c4b6ab060,far,2,task_prompt,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c62e8d42f,far,2,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p2,c3622ecfc,far,3,context_window,1,entry,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c74b21d20,near,3,observation_shaping,0,system_prompt,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c7b2d1719,near,3,wiring,0,wiring,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c0afec7c8,near,3,wiring,0,wiring,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c6b61c46d,near,2,context_window,0,context_window,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c695f431f,near,2,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c73b1dcf9,near,3,tool_finish,0,tool_finish,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c08e7c816,near,3,wiring,0,wiring,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c52391f1d,near,2,wiring,0,wiring,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c74b21d20,far,3,completion_policy,0,completion_policy,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c7b2d1719,far,3,tool_shell,0,task_prompt,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c0afec7c8,far,3,context_window,1,middleware,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c6b61c46d,far,2,budget,0,budget,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c695f431f,far,2,error_handling,0,error_handling,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c73b1dcf9,far,3,wiring,0,middleware,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c08e7c816,far,3,tool_shell,0,budget,feasible,0
claw_eval,e0c-b1-claw_eval-p3,c52391f1d,far,2,tool_registry,0,tool_router,feasible,0
