source,N,k,heldout_passes,sigma_seed,spread,mde_points,cost_usd,meets_d8,observed_n
claw_eval,7,3,1,5.00,5.00,7.75,547.78,0,0
claw_eval,7,3,2,5.00,5.00,7.25,1095.03,0,0
claw_eval,7,5,1,5.00,5.00,7.50,912.96,0,0
claw_eval,7,5,2,5.00,5.00,7.25,1825.04,0,0
claw_eval,8,3,1,5.00,5.00,7.00,626.03,0,1
claw_eval,8,3,2,5.00,5.00,6.75,1251.46,0,1
claw_eval,8,5,1,5.00,5.00,6.75,1043.39,0,1
claw_eval,8,5,2,5.00,5.00,6.50,2085.76,0,1
claw_eval,10,3,1,5.00,5.00,6.00,782.54,0,0
claw_eval,10,3,2,5.00,5.00,5.75,1564.32,0,0
claw_eval,10,5,1,5.00,5.00,5.50,1304.23,0,0
claw_eval,10,5,2,5.00,5.00,5.25,2607.20,0,0
claw_eval,14,3,1,5.00,5.00,5.00,1095.55,0,0
claw_eval,14,3,2,5.00,5.00,4.50,2190.05,0,0
claw_eval,14,5,1,5.00,5.00,4.75,1825.92,0,0
claw_eval,14,5,2,5.00,5.00,4.25,3650.09,0,0
